Depth,Alpha,Seed,Init_Chi,Init_FR,Train_Chi_Mean,BestAccuracy
Deep,0.5,0,0.0023265131704132127,0.04484028617540995,0.1077196484982865,45.44
Deep,0.5,1,0.002308479966879661,0.04557055731614431,0.12079256076621595,44.85
Deep,0.5,2,0.0023749408065518603,0.044602478543917336,0.12584833803991607,44.33
Deep,0.6992167472484911,0,0.009067943865622924,0.04484028617540995,0.469848405303203,44.98
Deep,0.6992167472484911,1,0.009003574067181339,0.04557055731614431,0.47388679612993184,46.48
Deep,0.6992167472484911,2,0.009269106200362075,0.044602478543917336,0.534520563576393,45.2
Deep,0.9778081192655208,0,0.028229122628941238,0.04484028617540995,1.6266751660150418,51.26
Deep,0.9778081192655208,1,0.0279955572721582,0.04557055731614431,1.931060547773674,47.9
Deep,0.9778081192655208,2,0.028950746042678208,0.044602478543917336,2.0171693423660675,50.73
Deep,1.3673996251720042,0,0.06393587215738,0.04484028617540995,4.578544349376914,55.2
Deep,1.3673996251720042,1,0.06289407334165519,0.04557055731614431,5.488881984648875,52.42
Deep,1.3673996251720042,2,0.06584107594238892,0.044602478543917336,5.887690847843624,54.67
Deep,1.9122174362031499,0,0.10970298163572806,0.04484028617540995,10.986619199066087,60.46
Deep,1.9122174362031499,1,0.10596462005350332,0.04557055731614431,10.945580591779569,57.4
Deep,1.9122174362031499,2,0.1122937935241203,0.044602478543917336,12.818720432490375,58.82
Deep,2.6741089115476315,0,0.20255146402421484,0.04484028617540995,11.676745991823562,64.23
Deep,2.6741089115476315,1,0.19392360946265047,0.04557055731614431,10.517710798649981,63.07
Deep,2.6741089115476315,2,0.20033068526546643,0.044602478543917336,11.700258342543496,65.4
Deep,3.739563469841075,0,0.44880173011401603,0.04484028617540995,5.876349081278345,68.85
Deep,3.739563469841075,1,0.42927444934669323,0.04557055731614431,6.5750446237026665,66.4
Deep,3.739563469841075,2,0.4263395721260214,0.044602478543917336,6.8456571716247625,69.6
Deep,5.229530811023117,0,1.0307885149127087,0.04484028617540995,4.456928702176105,71.22
Deep,5.229530811023117,1,0.9857722130290529,0.04557055731614431,5.103282157423253,70.99
Deep,5.229530811023117,2,0.9567932752419093,0.044602478543917336,4.929291231353661,70.47
Deep,7.313151046638694,0,2.358917414550117,0.04484028617540995,5.44558571862928,71.81
Deep,7.313151046638694,1,2.259586647289403,0.04557055731614431,5.815227231391918,68.69
Deep,7.313151046638694,2,2.1785576483786953,0.044602478543917336,5.801618609877586,70.79
Deep,10.226955373935212,0,5.4098664931545954,0.04484028617540995,7.273827673566672,70.83
Deep,10.226955373935212,1,5.1968433833882495,0.04557055731614431,7.592184036783574,68.87
Deep,10.226955373935212,2,5.016003617953303,0.044602478543917336,7.962356196497074,71.17
Deep,14.301716941636915,0,12.458123541942108,0.04484028617540995,10.09938181505223,68.48
Deep,14.301716941636915,1,12.017090954898336,0.04557055731614431,11.050849862581382,65.76
Deep,14.301716941636915,2,11.60358893972504,0.044602478543917336,10.755576379164554,66.39
Deep,20.000000000000004,0,28.81455418312062,0.04484028617540995,15.539741050132069,64.09
Deep,20.000000000000004,1,27.827190973211945,0.04557055731614431,15.930913661706725,62.3
Deep,20.000000000000004,2,26.828980901781076,0.044602478543917336,15.639697161996647,64.39
