surrogate,lr,alpha,best_acc,baseline_epoch
Sigmoid,0.002,1000.0,10.0,
Sigmoid,0.006,0.05,44.22,
Sigmoid,0.006,0.101,51.99,
Sigmoid,0.006,0.206,59.15,
Sigmoid,0.006,0.417,64.98,
Sigmoid,0.006,0.847,67.52,
Sigmoid,0.006,1.72,70.24,10.0
Sigmoid,0.006,3.49,70.73,8.0
Sigmoid,0.006,7.07,67.65,
Sigmoid,0.006,14.3,10.0,
Sigmoid,0.006,29.1,10.0,
Sigmoid,0.006,59.0,10.0,
Sigmoid,0.006,120.0,10.0,
Sigmoid,0.006,243.0,10.0,
Sigmoid,0.006,493.0,10.0,
Sigmoid,0.006,1000.0,10.0,
Sigmoid,0.03,0.05,29.72,
Sigmoid,0.03,0.101,48.73,
Sigmoid,0.03,0.206,58.69,
Sigmoid,0.03,0.417,60.46,
Sigmoid,0.03,0.847,59.02,
Sigmoid,0.03,1.72,54.72,
Sigmoid,0.03,3.49,49.68,
Sigmoid,0.03,7.07,30.87,
Sigmoid,0.03,14.3,10.0,
Sigmoid,0.03,29.1,10.0,
Sigmoid,0.03,59.0,10.0,
Sigmoid,0.03,120.0,10.0,
Sigmoid,0.03,243.0,10.0,
Sigmoid,0.03,493.0,10.0,
Sigmoid,0.03,1000.0,10.0,
Sigmoid,0.1,0.05,10.0,
Sigmoid,0.1,0.101,10.0,
Sigmoid,0.1,0.206,16.69,
Sigmoid,0.1,0.417,10.0,
Sigmoid,0.1,0.847,10.0,
Sigmoid,0.1,1.72,11.59,
Sigmoid,0.1,3.49,10.0,
Sigmoid,0.1,7.07,10.0,
Sigmoid,0.1,14.3,10.0,
Sigmoid,0.1,29.1,10.0,
Sigmoid,0.1,59.0,10.0,
Sigmoid,0.1,120.0,10.0,
Sigmoid,0.1,243.0,10.0,
Sigmoid,0.1,493.0,10.0,
Sigmoid,0.1,1000.0,10.0,
Esser,0.0001,0.05,26.37,
Esser,0.0001,0.101,37.02,
Esser,0.0001,0.206,48.62,
Esser,0.0001,0.417,54.02,
Esser,0.0001,0.847,57.52,
Esser,0.0001,1.72,10.0,
Esser,0.0001,3.49,10.0,
Esser,0.0001,7.07,10.0,
Esser,0.0001,14.3,10.0,
Esser,0.0001,29.1,10.0,
Esser,0.0001,59.0,10.0,
Esser,0.0001,120.0,10.0,
Esser,0.0001,243.0,10.0,
Esser,0.0001,493.0,10.0,
Esser,0.0001,1000.0,10.0,
Esser,0.0004,0.05,36.85,
Esser,0.0004,0.101,48.94,
Esser,0.0004,0.206,57.1,
Esser,0.0004,0.417,63.65,
Esser,0.0004,0.847,67.37,
Esser,0.0004,1.72,10.0,
Esser,0.0004,3.49,10.0,
Esser,0.0004,7.07,10.0,
Esser,0.0004,14.3,10.0,
Esser,0.0004,29.1,10.0,
Esser,0.0004,59.0,10.0,
Esser,0.0004,120.0,10.0,
Esser,0.0004,243.0,10.0,
Esser,0.0004,493.0,10.0,
Esser,0.0004,1000.0,10.0,
Esser,0.002,0.05,49.61,
Esser,0.002,0.101,54.08,
Esser,0.002,0.206,65.5,
Esser,0.002,0.417,69.63,
Esser,0.002,0.847,72.94,6.0
Esser,0.002,1.72,10.0,
Esser,0.002,3.49,10.0,
Esser,0.002,7.07,10.0,
Esser,0.002,14.3,10.0,
Esser,0.002,29.1,10.0,
Esser,0.002,59.0,10.0,
Esser,0.002,120.0,10.0,
